State,Sept. 2016,Aug. 2017,Sept. 2017
Alabama,19.32,19.76,19.87
Alaska,22.54,20.03,24.21
Arizona,17.58,17.33,17.6
Arkansas,15.57,16.27,15.99
California,21.94,22.81,23.03
Colorado,27.99,26.72,26.96
Connecticut,25.97,25.57,24.61
Delaware,17.32,19.55,19.37
Florida,21.59,21.54,22.09
Georgia,18.08,18.47,18.71
Hawaii,21.59,20.24,20.58
Idaho,18.9,18.15,18.51
Illinois,20.13,20.17,20.29
Indiana,18.95,19.99,20.16
Iowa,18.57,19.3,19.19
Kansas,18.9,18.98,19.78
Kentucky,20.68,20.23,20.07
Louisiana,21.58,21.99,22.06
Maine,21.09,22.61,22.55
Maryland,19.63,20.93,21.78
Massachusetts,23.08,23.63,23.98
Michigan,20.55,20.6,20.76
Minnesota,19.95,20.61,20.98
Mississippi,20.74,20.76,20.61
Missouri,20.18,23.3,23.02
Montana,18.94,19.24,19.45
Nebraska,17.91,19.5,19.4
Nevada,18.72,19.51,19.66
Las Vegas-Henderson-Paradise,17.45,17.41,17.63
New Hampshire,21.05,21.54,21.78
New Jersey,21.95,21.13,21.43
New Mexico,16.98,17.83,17.92
New York,19.76,20.86,21.11
North Carolina,17.25,17.84,17.8
North Dakota,20.54,20.14,20.14
Ohio,20.93,20.92,21.17
Oklahoma,18.77,19.08,19.19
Oregon,20.37,20.55,20.59
Pennsylvania,19.51,20.5,20.47
Rhode Island,18.44,18.92,19.02
South Carolina,19.42,18.83,18.78
South Dakota,18.62,18.69,18.63
Tennessee,19.03,19.4,19.58
Texas,22.76,23.06,23.45
Utah,20.64,20.66,20.42
Vermont,20.6,21.23,21.38
Virginia,19.39,19.4,19.32
Washington,26.79,27.18,27.95
West Virginia,19.93,21.09,21.12
Wisconsin,19.72,19.96,20.24
Wyoming,22.8,22.93,23.25
Puerto Rico(3),12.1,12.71,–
Virgin Islands(3),18.42,17.89,–
