State,Sept. 2016,Aug. 2017,Sept. 2017
Alabama,836.56,881.3,860.37
Alaska,858.77,907.36,653.67
Arizona,696.17,705.33,723.36
Arkansas,618.13,644.29,655.59
California,914.9,932.93,944.23
Colorado,1144.79,1098.19,1099.97
Connecticut,1114.11,1068.83,1026.24
Delaware,727.44,807.42,801.92
Florida,854.96,889.6,810.7
Georgia,775.63,797.9,780.21
Hawaii,850.65,789.36,806.74
Idaho,771.12,765.93,777.42
Illinois,863.58,853.19,858.27
Indiana,792.11,849.58,852.77
Iowa,766.94,810.6,817.49
Kansas,788.13,804.75,844.61
Kentucky,907.85,849.66,842.94
Louisiana,886.94,916.98,941.96
Maine,873.13,920.23,938.08
Maryland,796.98,874.87,936.54
Massachusetts,955.51,997.19,1019.15
Michigan,891.87,894.04,903.06
Minnesota,831.92,851.19,866.47
Mississippi,854.49,865.69,867.68
Missouri,857.65,1013.55,992.16
Montana,732.98,744.59,733.27
Nebraska,779.09,809.25,830.32
Nevada,791.86,801.86,813.92
Las Vegas-Henderson-Paradise,689.28,699.88,710.49
New Hampshire,898.84,930.53,934.36
New Jersey,867.03,851.54,863.63
New Mexico,660.52,679.32,689.92
New York,788.42,842.74,861.29
North Carolina,724.5,754.63,751.16
North Dakota,821.6,779.42,791.5
Ohio,904.18,895.38,899.73
Oklahoma,758.31,780.37,813.66
Oregon,831.1,834.33,848.31
Pennsylvania,809.67,848.7,857.69
Rhode Island,726.54,760.58,751.29
South Carolina,825.35,819.11,783.13
South Dakota,802.52,775.64,767.56
Tennessee,829.71,818.68,830.19
Texas,985.51,982.36,1020.08
Utah,790.51,847.06,835.18
Vermont,795.16,838.59,855.2
Virginia,796.93,795.4,801.78
Washington,1125.18,1141.56,1179.49
West Virginia,769.3,871.02,857.47
Wisconsin,828.24,836.32,848.06
Wyoming,886.92,965.35,978.83
Puerto Rico(3),498.52,508.4,–
Virgin Islands(3),633.65,686.98,–
