State,Sept. 2016,Aug. 2017,Sept. 2017,,,,
Alabama,43.3,44.6,43.3,,,,
Alaska,38.1,45.3,27,,,,
Arizona,39.6,40.7,41.1,,,,
Arkansas,39.7,39.6,41,,,,
California,41.7,40.9,41,,,,
Colorado,40.9,41.1,40.8,,,,
Connecticut,42.9,41.8,41.7,,,,
Delaware,42,41.3,41.4,,,,
Florida,39.6,41.3,36.7,,,,
Georgia,42.9,43.2,41.7,,,,
Hawaii,39.4,39,39.2,,,,
Idaho,40.8,42.2,42,,,,
Illinois,42.9,42.3,42.3,,,,
Indiana,41.8,42.5,42.3,,,,
Iowa,41.3,42,42.6,,,,
Kansas,41.7,42.4,42.7,,,,
Kentucky,43.9,42,42,,,,
Louisiana,41.1,41.7,42.7,,,,
Maine,41.4,40.7,41.6,,,,
Maryland,40.6,41.8,43,,,,
Massachusetts,41.4,42.2,42.5,,,,
Michigan,43.4,43.4,43.5,,,,
Minnesota,41.7,41.3,41.3,,,,
Mississippi,41.2,41.7,42.1,,,,
Missouri,42.5,43.5,43.1,,,,
Montana,38.7,38.7,37.7,,,,
Nebraska,43.5,41.5,42.8,,,,
Nevada,42.3,41.1,41.4,,,,
Las Vegas-Henderson-Paradise,39.5,40.2,40.3,,,,
New Hampshire,42.7,43.2,42.9,,,,
New Jersey,39.5,40.3,40.3,,,,
New Mexico,38.9,38.1,38.5,,,,
New York,39.9,40.4,40.8,,,,
North Carolina,42,42.3,42.2,,,,
North Dakota,40,38.7,39.3,,,,
Ohio,43.2,42.8,42.5,,,,
Oklahoma,40.4,40.9,42.4,,,,
Oregon,40.8,40.6,41.2,,,,
Pennsylvania,41.5,41.4,41.9,,,,
Rhode Island,39.4,40.2,39.5,,,,
South Carolina,42.5,43.5,41.7,,,,
South Dakota,43.1,41.5,41.2,,,,
Tennessee,43.6,42.2,42.4,,,,
Texas,43.3,42.6,43.5,,,,
Utah,38.3,41,40.9,,,,
Vermont,38.6,39.5,40,,,,
Virginia,41.1,41,41.5,,,,
Washington,42,42,42.2,,,,
West Virginia,38.6,41.3,40.6,,,,
Wisconsin,42,41.9,41.9,,,,
Wyoming,38.9,42.1,42.1,,,,
Puerto Rico(3),41.2,40,–,,,,
Virgin Islands(3),34.4,38.5,–,,,,
